word,word_count,cluster,distance_to_cluster_centroid,pca_x,pca_y
hours,58,2,1.8918228149414062,4.206105709075928,3.077941656112671
minutes,30,2,3.190124988555908,3.724449634552002,3.3216328620910645
says,26,1,4.601475238800049,0.3226710259914398,-1.3353044986724854
£,17,3,6.917177677154541,-0.12853534519672394,2.1755621433258057
m,17,3,5.184279441833496,-0.4707167148590088,1.365627408027649
cut,17,1,4.973084449768066,0.8975323438644409,-0.5390392541885376
UK,15,4,4.775652885437012,-1.2176182270050049,-0.9901936054229736
abuse,15,0,5.538633823394775,0.7610892057418823,-2.015515089035034
58,15,3,3.792004346847534,0.010795289650559425,2.0879576206207275
3,15,3,3.9281444549560547,0.3854249119758606,2.131455183029175
baby,13,1,5.971395969390869,0.6364902853965759,-0.7843353748321533
hour,13,2,2.7268035411834717,3.5586555004119873,2.6255948543548584
NHS,12,4,5.625980854034424,-2.015104293823242,-0.8029899597167969
Symonds,11,4,5.4331254959106445,-3.2494702339172363,0.9381588697433472
76,11,3,4.198736190795898,-0.3433968424797058,1.8927361965179443
BBC,11,4,4.706283092498779,-2.2090086936950684,-0.13944189250469208
pledges,11,1,5.4998674392700195,-0.010067044757306576,-1.2939794063568115
support,11,1,5.094395160675049,0.8132799863815308,-1.9509857892990112
ensure,10,1,4.8872761726379395,1.344590663909912,-1.897340178489685
vulnerable'The,10,-1,0.0,-1.5349303483963013,0.8428287506103516
accommodation,10,3,7.608358383178711,0.3253149390220642,-0.454831063747406
safe,10,1,4.907501220703125,1.315693736076355,-1.5050336122512817
communities,10,0,5.798790454864502,0.7442174553871155,-3.023667097091675
funds,10,0,5.790597915649414,0.8521102666854858,-2.1863608360290527
east,10,3,6.0313897132873535,0.4143710434436798,-0.4248186945915222
survivors,10,0,5.107974052429199,0.9171805381774902,-1.5501134395599365
injured,10,0,5.278475284576416,1.4862174987792969,-0.9134334921836853
secretary,9,1,6.432406425476074,-0.17412644624710083,-1.1232340335845947
patients,9,0,6.342289924621582,2.0515363216400146,-1.2197048664093018
people,8,1,4.265174865722656,1.7877838611602783,-1.7920548915863037
"8,000",8,0,5.684133529663086,0.33215561509132385,0.45664191246032715
breaking,8,1,4.329072952270508,0.7028655409812927,-0.7614568471908569
Royce,8,4,6.3105316162109375,-2.226379156112671,-0.0946747437119484
day,7,1,4.282262802124023,2.4572227001190186,0.5917937159538269
